Category,Message
ham,Go until jurong point
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 86688 or Duns say so early hor... U c already then say...
ham,Nah I don't think he goes to usf
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm gonna be in miami all weekend and i'm thinking that we should go to south beach
ham,Is that the same as the one i grt?
ham,Sorry
ham,I can't pick the phone right now. Pls send a message
ham,Ok...
ham,Say this slowly.? GOD
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,Haha
ham,I try neva mate!!
spam,Hi Babe
ham,It's just the effect of irritation. Just ignore it
spam,Booked ticket for pongal?
ham,Haha that's sweet. Just wish we could spend it together
ham,I've got a surprise for you. Call 09061701323 now.
ham,Is that the same as the one i grt?
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to take a nap
ham,Oh god
ham,I've got a surprise for you. Call 09061701323 now.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm trying to find an apartment. Do you have any recommendations?
ham,I'm on the bus
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm at work
ham,Can we meet up tomorrow?
ham,I'm sorry
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm tired
ham,I'll call you back in a few minutes.
ham,I'm thinking of ordering pizza tonight.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm running late
ham,I need to go to the grocery store later.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'll be home around 7:00 tonight.
ham,I'm excited for the weekend!
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to try to get some sleep now.
ham,I'll talk to you later.
spam,Hi Babe
ham,I'm going to watch a movie tonight.
ham,I'm looking forward to seeing you tomorrow.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm feeling much better now.
ham,I'm going to clean my apartment this weekend.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'll call you when I get home from work.
ham,I'm going to try to eat healthier this week.
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm having a great day so far.
ham,I'm going to the gym after work.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm going to the beach this weekend.
ham,I'm going to read a book tonight.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to buy some new clothes.
ham,I'm going to get a haircut soon.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'm going to visit my parents next week.
ham,I'm going to take a long walk today.
spam,Hi Babe
ham,I'm going to bake some cookies.
ham,I'm going to learn a new skill.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to volunteer my time.
ham,I'm going to try a new restaurant.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to start a new hobby.
ham,I'm going to write a letter.
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to listen to some music.
ham,I'm going to call my best friend.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm going to buy a new phone.
ham,I'm going to save money this month.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to plan a trip.
ham,I'm going to drink more water.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'm going to meditate every morning.
ham,I'm going to practice gratitude.
spam,Hi Babe
ham,I'm going to learn a new language.
ham,I'm going to try yoga.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to write a novel.
ham,I'm going to start running.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to apologize to someone.
ham,I'm going to forgive someone.
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more present.
ham,I'm going to be more patient.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm going to be more kind.
ham,I'm going to be more loving.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to be more grateful.
ham,I'm going to be more mindful.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'm going to be more positive.
ham,I'm going to be more optimistic.
spam,Hi Babe
ham,I'm going to be more ambitious.
ham,I'm going to be more focused.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more disciplined.
ham,I'm going to be more productive.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to be more successful.
ham,I'm going to be more fulfilled.
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more confident.
ham,I'm going to be more creative.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm going to be more adventurous.
ham,I'm going to be more spontaneous.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to be more flexible.
ham,I'm going to be more adaptable.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'm going to be more resilient.
ham,I'm going to be more courageous.
spam,Hi Babe
ham,I'm going to be more forgiving.
ham,I'm going to be more understanding.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more compassionate.
ham,I'm going to be more empathetic.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to be more supportive.
ham,I'm going to be more encouraging.
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more trustworthy.
ham,I'm going to be more reliable.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm going to be more honest.
ham,I'm going to be more transparent.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to be more humble.
ham,I'm going to be more respectful.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'm going to be more patient.
ham,I'm going to be more calm.
spam,Hi Babe
ham,I'm going to be more peaceful.
ham,I'm going to be more joyful.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more energetic.
ham,I'm going to be more vibrant.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to be more healthy.
ham,I'm going to be more fit.
spam,URGENT! Your mobile number has won a $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more relaxed.
ham,I'm going to be more centered.
spam,Congratulations! You've been selected to receive a FREE $100 Gift Card to use at any high street store. Text YES to 80880 to claim! T&C apply.
ham,I'm going to be more balanced.
ham,I'm going to be more harmonious.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm going to be more spiritual.
ham,I'm going to be more connected.
spam,URGENT! You have won a 1 week FREE membership in our $100
ham,I'm going to be more intuitive.
ham,I'm going to be more wise.
spam,Hi Babe
ham,I'm going to be more decisive.
ham,I'm going to be more clear.
spam,You have won $1000 cash prize! Call 09061701323 now to claim!
ham,I'm going to be more focused.
ham,I'm going to be more determined.
spam,WINNER! You just won a $20 cash prize! Just reply to this message to claim your prize!
ham,I'm going to be more motivated.
ham,I'm going to be more inspired.
